id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,"Clean, central, quiet",377532,1462516964769218156,Simona,Kreis 3,Sihlfeld,47.37167,8.51948,Entire home/apt,,1125,47,2019-04-27,0.27,1,358,0,
143821,LOFT on 2 floors in Sihlcity Zürich,697307,1462526509819699279,Erhan,Kreis 3,Alt-Wiedikon,47.35761,8.52131,Entire home/apt,0,3,0,,,1,269,0,
178448,"a lovely place, top location",854016,1462531387688055862,Delphine,Kreis 2,Enge,47.36514,8.52615,Private room,0,5,9,2016-05-10,0.05,1,186,0,
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,1462516434317962712,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,0,6,31,2023-08-22,0.17,1,358,0,
283737,Best Location in Zurich Oldtown,1477771,1462546900105262004,Nuria,Kreis 1,Rathaus,47.37372,8.54452,Entire home/apt,0,3,394,2026-06-23,2.24,3,154,18,
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,1462518575763297792,Anil,Kreis 4,Hard,47.38066,8.50657,Entire home/apt,,7,11,2024-08-11,0.11,1,0,0,
310964,Large Apartment - Center of Zurich,1266114,1462541187297393670,Kim,Kreis 1,Hochschulen,47.36713,8.54868,Entire home/apt,0,7,13,2019-01-06,0.08,1,302,0,
577683,Garden Apartment in Zurich West with private Gym,1240329,1462516794272502426,Claudio,Kreis 10,Höngg,47.4049,8.49555,Entire home/apt,0,1,7,2021-07-03,0.04,1,218,0,
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,1462615278928578806,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,,4,169,2026-05-26,1.01,2,271,11,
620130,NB1: Charming 2-room apartment,3072679,1462617657070318243,Felix,Kreis 10,Wipkingen,47.39278,8.53,Entire home/apt,0,3,25,2020-02-08,0.20,5,310,0,
644888,Big and bright duplex in the heart of Zurich,3228273,1462623270338520041,Violetta,Kreis 3,Sihlfeld,47.37821,8.50637,Private room,0,2,16,2023-08-14,0.10,1,19,0,
706972,NB2: good value 1-room apartment,3072679,1462617657070318243,Felix,Kreis 10,Wipkingen,47.39229,8.52951,Entire home/apt,0,3,8,2020-03-17,0.06,5,93,0,
706997,NB3: Beautiful 2-bedroom apartment,3072679,1462617657070318243,Felix,Kreis 10,Wipkingen,47.39364,8.5285,Entire home/apt,0,3,12,2019-05-31,0.07,5,365,0,
743035,Unique Home in the midst of Nature near Zuerich,3891818,1462641965779734035,Jacqueline,Kreis 3,Friesenberg,47.35491,8.48682,Entire home/apt,0,2,111,2026-03-26,0.70,1,305,2,
815055,Quiet room in Zürich 5min to center,3693420,1462531364000542660,Nathalie,Kreis 2,Wollishofen,47.3366,8.53388,Private room,0,1,82,2023-07-03,0.51,1,90,0,
816887,Panoramic Views over Lake Zurich,1155866,1462516283314780585,Ysabel,Kreis 2,Wollishofen,47.335713,8.542109,Private room,0,2,47,2026-06-07,0.31,1,26,8,
898829,Top modernes Gästezimmer in Zürich Seebach,4797927,1462537323645895862,Pietro,Kreis 11,Seebach,47.42659,8.546569,Private room,0,1,349,2026-01-06,2.16,1,2,7,
